Fazenda,
,
Produto,Preços MIN/MAX
Açucar ,$ 0.50 - $ 0.60
Algodão,$0.40 - $0.50
Alho,$0.40 - $0.50
Ameixa,$0.40 - $0.50
Amora,$0.40 - $0.50
Banana,$0.40 - $0.50
Batata,$0.40 - $0.50
Cacau,$0.40 - $0.50
Café,$0.40 - $0.50
Cana-de-açucar,$0.40 - $0.50
Carne de porco,$0.60 - $0.80
Carne de vaca,$1.50 - $2.00
Cenoura,$0.40 - $0.50
Coalhada,$1.20 - 1.50
Couro de cavalo,$0.80 - $1.00
Fertilizante,$0.50 - $0.80
Giseng americano,$0.40 - $0.50
Giseng-do-Alaska,$0.40 - $0.50
Hortelã,$0.40 - $0.50
Lã de Ovelha,$0.50 - $0.60
Laranja,$0.40 - $0.50
Leite,$0.50 - $0.60
Leite de Cabra,$0.60-$0.75
Lúpulo,$0.40 - $0.50
Maçã,$0.40 - $0.50
Manteiga,$1.70 - $2.30
Milho,$0.40 - $0.50
Oregano,$0.40 - $0.50
Ovo,$0.60 - $0.80
Pêssego,$0.40 - $0.50
Queijo,$1.20 - $1.50
Queijo de cabra,$2.00 - $2.50
Ração,$15.00 - $18.00
Requeijão,"$3,60 - $4,50"
Ricota,$1.20 - $1.50
Saco de Algodão,$15.00 - $18.00
Saco de alho,$15.00 - $18.00
Saco de Ameixa,$15.00 - $18.00
Saco de Amora,$15.00 - $18.00
Saco de Banana,$15.00 - $18.00
Saco de Batata,$15.00 - $18.00
Saco de Cacau,$15.00 - $18.00
Saco de Café,$15.00 - $18.00
Saco de Cana-de-açucar,$15.00 - $18.00
Saco de Cenoura,$15.00 - $18.00
Saco de giseng americano,$15.00 - $18.00
Saco de giseng-do-Alaska,$15.00 - $18.00
Saco de hortelã,$15.00 - $18.00
Saco de Laranja,$15.00 - $18.00
Saco de Lúpulo,$15.00 - $18.00
Saco de Maçã,$15.00 - $18.00
Saco de Milho,$15.00 - $18.00
Saco de oregano,$15.00 - $18.00
Saco de Pêssego,$15.00 - $18.00
Saco de tomilho,$15.00 - $18.00
Saco de Trigo,$15.00 - $18.00
Saco de Uva,$15.00 - $18.00
Tomilho,$0.40 - $0.50
Trigo,$0.40 - $0.50
Uva,$0.40 - $0.50
Tabaco,$0.40 - $0.50